GeneLabel,ReplacementLabel
0rf119,orf119
0rf122,orf122
a1i1orf_=_ymf44,ymf44
a1i3orf_=_ymf43,ymf43
ai1,ai1
ai2,ai2
ai3,ai3
ai4,ai4
ai5,ai5
ai5_alpha,ai5
ai5_beta,ai5
ai7,ai7
amomp10,amomp10
amomp1,amomp1
amomp11,amomp11
amomp12,amomp12
amomp13,amomp13
amomp14,amomp14
amomp15,amomp15
amomp16,amomp16
amomp17,amomp17
amomp18,amomp18
amomp19,amomp19
amomp20,amomp20
amomp2,amomp2
amomp21,amomp21
amomp22,amomp22
amomp23,amomp23
amomp24,amomp24
amomp25,amomp25
amomp26,amomp26
amomp27,amomp27
amomp28,amomp28
amomp3,amomp3
amomp4,amomp4
amomp5,amomp5
amomp6,amomp6
amomp7,amomp7
amomp8,amomp8
amomp9,amomp9
anon,anon
atp1-1,atp1
atp1-2,atp1
atp1-3,atp1
atp1,atp1
atp1_a,atp1
atp1-a,atp1
atp1-a1,atp1
atp1-a2,atp1
atp1_b,atp1
atp1-b,atp1
atp3,atp3
atp4_1,atp4
atp4_2,atp4
atp4,atp4
atp5a1,atp5
atp6',atp6
atp6_1,atp6
atp6-1,atp6
atp6_2,atp6
atp6-2,atp6
atp6,atp6
atp6-i1,atp6
atp8-1,atp8
atp8_1,atp8
atp8-2,atp8
atp8_2,atp8
atp8,atp8
atp9-1,atp9
atp9-2,atp9
atp9,atp9
atp9a,atp9
atp9b,atp9
atpa,atp1
atpb,atpb
atpe,atpe
bi2,bi2
bi3,bi3
bi4,bi4
ccb206,ccb206
ccb438,ccb438
ccb577,ccb577
ccbb,ccbb
ccbc,ccbc
ccbfn,ccbfn
ccma,ccma
ccmb-1,ccmb
ccmb,ccmb
ccmc-1,ccmc
ccmc,ccmc
ccmf,ccmf
ccmf_c,ccmf
ccmfc1,ccmf
ccmfc-1,ccmf
ccmfc,ccmf
ccmfc2,ccmf
ccmf_n,ccmf
ccmfn-1,ccmf
ccmfn1,ccmf
ccmfn,ccmf
ccmfn2,ccmf
co1,cox1
co2,cox2
co3,cox3
cob-1,cytb
cob.1,cytb
cob1,cytb
cob2,cytb
cob,cytb
coba,cytb
cob-ai1,cytb
cob-ai2,cytb
cobb,cytb
cob_e1,cytb
cob_e2,cytb
cobi1,cytb
cob-i1,cytb
cobi2,cytb
cob-i2,cytb
cob-i3,cytb
cob-i4,cytb
cof,cof
coi,cox1
coii,cox2
coiii,cox3
copb,copb
cox11,cox11
cox1_1,cox1
cox1.2,cox1
cox1_2,cox1
cox1&2,cox1
cox1-2,cox1
cox1.3,cox1
cox15,cox15
cox1,cox1
cox1a,cox1
cox1-ai1,cox1
cox1-ai2,cox1
cox1-ai3,cox1
cox1-ai4,cox1
cox1-ai5,cox1
cox1-ai6,cox1
cox1b,cox1
cox1-cox2,cox1
cox1i10,cox1
cox1i11,cox1
cox1-i1,cox1
cox1i1,cox1
cox1-i1a,cox1
cox1-i2,cox1
cox1i2,cox1
cox1-i3,cox1
cox1i3,cox1
cox1-i4,cox1
cox1i4,cox1
cox1i5,cox1
cox1-i5,cox1
cox1i6,cox1
cox1-i6,cox1
cox1i7,cox1
cox1-i7,cox1
cox1-i8,cox1
cox1i8_1,cox1
cox1i8_2,cox1
cox1i8,cox1
cox1i8_3,cox1
cox1i9,cox1
cox2-1,cox2
cox2-2,cox2
cox2,cox2
cox2a,cox2
cox2b,cox2
cox2i1,cox2
cox2i2,cox2
cox2i3,cox2
cox3,cox3
cox3a,cox3
cox3-ai1,cox3
cox3b,cox3
cox3-i1,cox3
cox3-i2,cox3
cox3-i3,cox3
cox-i1b,cox1
cox-i2,cox2
coxi,cox1
coxii,cox2
coxiii,cox3
ctyb,cytb
cw-orf307,orf307
cyb,cytb
cyt8,cytb
cytb,cytb
cytb-ai1,cytb
cytb-ai2,cytb
dam,dam
dnab,dnab
dnapol,dpo
dpo,dpo
dpo_b2,dpo
dpob,dpo
dpoba,dpo
dpobb,dpo
dpol1,dpo
dpol2,dpo
dpol3,dpo
dpol4,dpo
dpol5,dpo
dpol,dpo
en2,en2
forf,forf
f-orf,forf
ftsh,ftsh
giy-yig,giy
heg10,heg10
heg11,heg11
heg12,heg12
heg1,heg1
heg13,heg13
heg14,heg14
heg15,heg15
heg16,heg16
heg17,heg17
heg18,heg18
heg19,heg19
heg20,heg20
heg21,heg21
heg2,heg2
heg22,heg22
heg23,heg23
heg24,heg24
heg25,heg25
heg26,heg26
heg27,heg27
heg28,heg28
heg29,heg29
heg30,heg30
heg31,heg31
heg3,heg3
heg32,heg32
heg33,heg33
heg34,heg34
heg35,heg35
heg36,heg36
heg37,heg37
heg38,heg38
heg39,heg39
heg4,heg4
heg5,heg5
heg6,heg6
heg,heg
heg7,heg7
heg8,heg8
heg9,heg9
horf,horf
htp42,htp42
hyp10,hyp10
hyp11,hyp11
hyp12,hyp12
hyp13,hyp13
hyp14,hyp14
hyp1,hyp1
hyp15,hyp15
hyp16,hyp16
hyp17,hyp17
hyp18,hyp18
hyp19,hyp19
hyp20,hyp20
hyp21,hyp21
hyp22,hyp22
hyp2,hyp2
hyp23,hyp23
hyp24,hyp24
hyp25,hyp25
hyp26,hyp26
hyp27,hyp27
hyp28,hyp28
hyp29,hyp29
hyp30,hyp30
hyp31,hyp31
hyp32,hyp32
hyp33,hyp33
hyp3,hyp3
hyp34,hyp34
hyp35,hyp35
hyp36,hyp36
hyp37,hyp37
hyp38,hyp38
hyp39,hyp39
hyp40,hyp40
hyp41,hyp41
hyp4,hyp4
hyp43,hyp43
hyp44,hyp44
hyp45,hyp45
hyp46,hyp46
hyp47,hyp47
hyp48,hyp48
hyp49,hyp49
hyp50,hyp50
hyp51,hyp51
hyp52,hyp52
hyp5,hyp5
hyp53,hyp53
hyp54,hyp54
hyp55,hyp55
hyp56,hyp56
hyp57,hyp57
hyp58,hyp58
hyp59,hyp59
hyp6,hyp6
hyp7,hyp7
hyp8,hyp8
hyp9,hyp9
hypothetical_protein,hypothetical_protein
hypp1,hypp1
hypp2,hypp2
hypp3,hypp3
i-cg1i,i-cg1i
i-cg1ii,i-cg1ii
i-cg1iii,i-cg1iii
infa,infa
int,int
intronic_giy-yig,giy
intronic_laglidadg,intronic_laglidadg
io-cox1.1,cox1
io-cox1.2,cox1
io-cox1.3,cox1
iorf109,iorf109
iorf123,iorf123
iorf131,iorf131
iorf156,iorf156
iorf160,iorf160
iorf170,iorf170
iorf171,iorf171
iorf179,iorf179
iorf187,iorf187
iorf189,iorf189
iorf195,iorf195
iorf212,iorf212
iorf213,iorf213
iorf239,iorf239
iorf245,iorf245
iorf298,iorf298
iorf461,iorf461
ip10,ip10
ip1,ip1
ip11,ip11
ip12,ip12
ip13,ip13
ip14,ip14
ip15,ip15
ip16,ip16
ip17,ip17
ip18,ip18
ip2,ip2
ip3,ip3
ip4,ip4
ip5,ip5
ip6,ip6
ip7,ip7
ip8,ip8
ip9,ip9
ix2,ix2
ix3,ix3
ix4,ix4
ix5,ix5
lhba,lhba
ltra,ltra
mat,mat
mat-atp1i1050,mat-atp1i1050
mat-atp1i989,mat-atp1i989
mat-atp9i87,mat-atp9i87
mat-cobi824,mat-cobi824
mat-cox1i1149,mat-cox1i1149
mat-cox1i178,mat-cox1i178
mat-cox1i323,mat-cox1i323
mat-cox1i44,mat-cox1i44
mat-cox2i250,mat-cox2i250
mat-mpo1,mat-mpo1
mat-r-1,matr
matr,matr
mat-r,matr
mat-rrnsi1065,mat-rrnsi1065
morf,morf
msh1,msh1
mtt2,mttb
mttb-1,mttb
mttb,mttb
murf1,murf1
murf5,murf5
muts,msh1
na11,nad11
nad10,nad10
nad1_1,nad1
nad11,nad11
nad11-a,nad11
nad11a,nad11
nad11-b,nad11
nad11b,nad11
nad1_2,nad1
nad1,nad1
nad1_a,nad1
nad1_b,nad1
nad1-i1,nad1
nad2,nad2
nad2a,nad2
nad2b,nad2
nad2_copy,nad2
