GeneLabel,ReplacementLabel
46791,46791
acca,acca
accb,accb
accc,accc
accd,accd
acpp1,acpp
acpp,acpp
acpp2,acpp
acsf,acsf
adk,adk
ahcy,ahcy
ahpc,ahpc
alas,alas
alr,alr
ankrd32,ankrd32
anon,anon
apca,apca
apcb,apcb
apc-beta,apcb
apcc,apcc
apcd,apcd
apce,apce
apcf,apcf
apta,atpa
apti,atpi
argb,argb
argd,argd
args,args
arob,arob
aroc,aroc
aroe,aroe
aroh,aroh
arok,arok
asd,asd
asps,asps
atp1,atpa
atp8,atph
atpa,atpa
atpase_beta_subunit,atpb
atp_b,atpb
atpb,atpb
atpc,atpc
atpd,atpd
atp_e,atpe
atpe,atpe
atp_f,atpf
atpf,atpf
atpg,atpg
atph_1,atph
atph_2,atph
atph,atph
atpi,atpi
atpl,atpl
bas1,bas1
bchi,bchi
bfr,bfr
bhy,bhy
bioc,bioc
biof,biof
bioy,bioy
bira,bira
bma.1,bma.1
bma.2,bma.2
bmb,bmb
bmc,bmc
bmd,bmd
bme,bme
bspb,bspb
cad,cad
cara,cara
carb,carb
cbba,cbba
cbbl,cbbl
cbbx,cbbx
cbif,cbif
cbiq,cbiq
ccda,ccda
ccfr6,ccfr6
ccfr8,ccfr8
ccmk,ccmk
ccml,ccml
ccrf10,ccrf10
ccrf1,ccrf1
ccrf11,ccrf11
ccrf2,ccrf2
ccrf3,ccrf3
ccrf4,ccrf4
ccrf5,ccrf5
ccrf7,ccrf7
ccrf9,ccrf9
ccr_orf148,ccr_orf148
ccr_orf157,ccr_orf157
ccr_orf426,ccr_orf426
ccr_orf64,ccr_orf64
ccr_orf64-like,ccr_orf64-like
ccr_orf745,ccr_orf745
ccs1',ccsa
ccs1.2,ccsa
ccs1,ccsa
ccsa',ccsa
ccsa,ccsa
cdsa,cdsa
cema,cema
cfxe,cfxe
cfxq,cfxq
chib,chib
chil,chil
chlb,chlb
chld,chld
chlg,chlg
chlh,chlh
chli-2,chli
chli,chli
chll',chli
chll,chll
chlm,chlm
chln',chln
chln,chln
citb,citb
clcp,clpc
clp,clpc
clpa,clpa
clpb,clpb
clpc',clpc
clpc1,clpc
clpc2,clpc
clpc,clpc
clpc_a,clpc
clpc_b,clpc
clpc-i,clpc
clpc-ii,clpc
clpn,clpn
clpp-1,clpp
clpp1,clpp
clpp-2,clpp
clpp2,clpp
clpp,clpp
coba,coba
coda,coda
conserved_orf_1,conserved_orf_1
conserved_orf_2,conserved_orf_2
conserved_orf_3,conserved_orf_3
conserved_orf_4,conserved_orf_4
conserved_orf_5,conserved_orf_5
conserved_orf_6,conserved_orf_6
conserved_orf_7,conserved_orf_7
conserved_orf_8,conserved_orf_8
consorf1,consorf1
consorf2,consorf2
consorf3,consorf3
consorf4,consorf4
consorf5,consorf5
cp30,cp30
cp43,cp43
cp47,cp47
cp74,cp74
cpca,cpca
cpcb,cpcb
cpcc,cpcc
cpce,cpce
cpcf,cpcf
cpcg,cpcg
cpcs,cpcs
cpea,cpea
cpeb,cpeb
cpes,cpes
cpla_003,cpla_003
cplp,clpp
crte,crte
crtq,crtq
crtr,crtr
cssa,cssa
ctab,ctab
ctac,ctac
ctad,ctad
ctae,ctae
ctpa,ctpa
cyp,cyp
cysa,cysa
cysc,cysc
cysd,cysd
cysh,cysh
cysm,cysm
cyss,cyss
cyst,cyst
cysw,cysw
dapa,dapa
dapb,dapb
dapf,dapf
ddl,ddl
dead,dead
def,def
deoc,deoc
desa,desa
dfr,dfr
dnab,dnab
dnae,dnae
dnag,dnag
dnaj,dnaj
dnak,dnak
dnan,dnan
dnax,dnax
dpob,dpob
