#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Pyropia yezoensis","Eukaryota;Other;Other","","SAMN13316713","PRJNA589917","GCA_009829735.1"," Chromosome",107.591,64.8454,"chromosome 1:CM020618.1; chromosome 2:CM020619.1; chromosome 3:CM020620.1","WMLA01",28,0,"2020-01-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/829/735/GCA_009829735.1_ASM982973v1",
"Arabidopsis thaliana","Eukaryota;Plants;Land Plants","","SAMN03081427","PRJNA10719","GCA_000001735.2"," Chromosome",119.669,36.0529,"chromosome 1:NC_003070.9/CP002684.1; chromosome 2:NC_003071.7/CP002685.1; chromosome 3:NC_003074.8/CP002686.1; chromosome 4:NC_003075.7/CP002687.1; chromosome 5:NC_003076.8/CP002688.1; mitochondrion MT:NC_037304.1/BK010421.1; chloroplast Pltd:NC_000932.1/AP000423.1",,7,48265,"2001-08-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/735/GCA_000001735.2_TAIR10.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/735/GCF_000001735.4_TAIR10.1"
"Glycine max","Eukaryota;Plants;Land Plants","","SAMN00002965","PRJNA19861","GCA_000004515.4"," Chromosome",979.046,35.1153,"chromosome 1:NC_016088.3/CM000834.3; chromosome 2:NC_016089.3/CM000835.3; chromosome 3:NC_016090.3/CM000836.3; chromosome 4:NC_016091.3/CM000837.3; chromosome 5:NC_038241.1/CM000838.2; chromosome 6:NC_038242.1/CM000839.3; chromosome 7:NC_038243.1/CM000840.3; chromosome 8:NC_038244.1/CM000841.3; chromosome 9:NC_038245.1/CM000842.3; chromosome 10:NC_038246.1/CM000843.3; chromosome 11:NC_038247.1/CM000844.3; chromosome 12:NC_038248.1/CM000845.2; chromosome 13:NC_038249.1/CM000846.2; chromosome 14:NC_038250.1/CM000847.2; chromosome 15:NC_038251.1/CM000848.2; chromosome 16:NC_038252.1/CM000849.2; chromosome 17:NC_038253.1/CM000850.3; chromosome 18:NC_038254.1/CM000851.3; chromosome 19:NC_038255.1/CM000852.3; chromosome 20:NC_038256.1/CM000853.3; chloroplast Pltd:NC_007942.1/; mitochondrion MT:NC_020455.1/","ACUP03",1579,71219,"2010-01-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/515/GCA_000004515.4_Glycine_max_v2.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/515/GCF_000004515.5_Glycine_max_v2.1"
"Medicago truncatula","Eukaryota;Plants;Land Plants","A17","SAMN02299339","PRJNA10791","GCA_000219495.2"," Chromosome",412.924,34.047,"chromosome 1:NC_016407.2/CM001217.2; chromosome 2:NC_016408.2/CM001218.2; chromosome 3:NC_016409.2/CM001219.2; chromosome 4:NC_016410.2/CM001220.2; chromosome 5:NC_016411.2/CM001221.2; chromosome 6:NC_016412.2/CM001222.2; chromosome 7:NC_016413.2/CM001223.2; chromosome 8:NC_016414.2/CM001224.2; chloroplast Pltd:NC_003119.6/","APNO01",2187,41939,"2011-08-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/219/495/GCA_000219495.2_MedtrA17_4.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/495/GCF_000219495.3_MedtrA17_4.0"
"Solanum lycopersicum","Eukaryota;Plants;Land Plants","","SAMN02981290","PRJNA119","GCA_000188115.3"," Chromosome",828.349,35.6991,"chromosome 1:NC_015438.3/CM001064.3; chromosome 2:NC_015439.3/CM001065.3; chromosome 3:NC_015440.3/CM001066.3; chromosome 4:NC_015441.3/CM001067.3; chromosome 5:NC_015442.3/CM001068.3; chromosome 6:NC_015443.3/CM001069.3; chromosome 7:NC_015444.3/CM001070.3; chromosome 8:NC_015445.3/CM001071.3; chromosome 9:NC_015446.3/CM001072.3; chromosome 10:NC_015447.3/CM001073.3; chromosome 11:NC_015448.3/CM001074.3; chromosome 12:NC_015449.3/CM001075.3; mitochondrion MT:NC_035963.1/; chloroplast Pltd:NC_007898.3/","AEKE03",3150,37660,"2010-12-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/188/115/GCA_000188115.3_SL3.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/188/115/GCF_000188115.4_SL3.0"
"Hordeum vulgare subsp. vulgare","Eukaryota;Plants;Land Plants","","SAMEA5928514","PRJEB34217","GCA_902498975.1"," Chromosome",4340.66,44.5703,"chromosome 1H:LR721633.1; chromosome 2H:LR721634.1; chromosome 3H:LR721635.1; chromosome 4H:LR721636.1; chromosome 5H:LR721637.1; chromosome 6H:LR721638.1; chromosome 7H:LR721639.1","CABVLW01",19571,0,"2019-10-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/498/975/GCA_902498975.1_Morex_v2.0",
"Oryza sativa Japonica Group","Eukaryota;Plants;Land Plants","","SAMD00000397","PRJNA12269","GCA_001433935.1"," Chromosome",374.423,43.5769,"chromosome 1:NC_029256.1/AP014957.1; chromosome 2:NC_029257.1/AP014958.1; chromosome 3:NC_029258.1/AP014959.1; chromosome 4:NC_029259.1/AP014960.1; chromosome 5:NC_029260.1/AP014961.1; chromosome 6:NC_029261.1/AP014962.1; chromosome 7:NC_029262.1/AP014963.1; chromosome 8:NC_029263.1/AP014964.1; chromosome 9:NC_029264.1/AP014965.1; chromosome 10:NC_029265.1/AP014966.1; chromosome 11:NC_029266.1/AP014967.1; chromosome 12:NC_029267.1/AP014968.1; plastid Pltd:NC_001320.1/; mitochondrion MT:NC_011033.1/",,58,42578,"2015-10-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/433/935/GCA_001433935.1_IRGSP-1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/433/935/GCF_001433935.1_IRGSP-1.0"
"Triticum aestivum","Eukaryota;Plants;Land Plants","","SAMN07284949","PRJNA392179","GCA_002220415.3"," Chromosome",15418.8,46.113,"chromosome 1A:CM022211.1; chromosome 1B:CM022212.1; chromosome 1D:CM022213.1; chromosome 2A:CM022214.1; chromosome 2B:CM022215.1; chromosome 2D:CM022216.1; chromosome 3A:CM022217.1; chromosome 3B:CM022218.1; chromosome 3D:CM022219.1; chromosome 4A:CM022220.1; chromosome 4B:CM022221.1; chromosome 4D:CM022222.1; chromosome 5A:CM022223.1; chromosome 5B:CM022224.1; chromosome 5D:CM022225.1; chromosome 6A:CM022226.1; chromosome 6B:CM022227.1; chromosome 6D:CM022228.1; chromosome 7A:CM022229.1; chromosome 7B:CM022230.1; chromosome 7D:CM022231.1; chloroplast Pltd:CM022232.1","NMPL03",70316,0,"2017-07-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/220/415/GCA_002220415.3_Triticum_4.0",
"Zea mays","Eukaryota;Plants;Land Plants","","SAMN04296295","PRJNA10769","GCA_000005005.6"," Chromosome",2135.08,46.9109,"chromosome 1:NC_024459.2/CM007647.1; chromosome 2:NC_024460.2/CM007648.1; chromosome 3:NC_024461.2/CM007649.1; chromosome 4:NC_024462.2/CM000780.4; chromosome 5:NC_024463.2/CM000781.4; chromosome 6:NC_024464.2/CM000782.4; chromosome 7:NC_024465.2/CM007650.1; chromosome 8:NC_024466.2/CM000784.4; chromosome 9:NC_024467.2/CM000785.4; chromosome 10:NC_024468.2/CM000786.4; mitochondrion MT:NC_007982.1/; chloroplast Pltd:NC_001666.2/","LPUQ01",598,51765,"2010-01-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/005/005/GCA_000005005.6_B73_RefGen_v4","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/005/GCF_000005005.2_B73_RefGen_v4"
"Schizosaccharomyces pombe","Eukaryota;Fungi;Ascomycetes","972h-","SAMEA3138176","PRJNA13836","GCA_000002945.2"," Chromosome",12.5913,36.0381,"chromosome I:NC_003424.3/CU329670.1; chromosome II:NC_003423.3/CU329671.1; chromosome III:NC_003421.2/CU329672.1; mitochondrion MT:NC_001326.1/X54421.1",,4,5132,"2002-02-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/945/GCA_000002945.2_ASM294v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/945/GCF_000002945.1_ASM294v2"
